"Time","gestão de sala de aula","indisciplina","disciplina escolar","controle de sala de aula","manejo de classe"
"2023-07-01",2,7,3,1,0
"2023-08-01",3,7,3,1,0
"2023-09-01",2,7,4,1,0
"2023-10-01",2,8,4,1,0
"2023-11-01",2,7,5,0,0
"2023-12-01",1,5,3,0,0
"2024-01-01",1,4,2,0,0
"2024-02-01",2,6,4,1,0
"2024-03-01",3,7,5,1,0
"2024-04-01",3,10,5,1,0
"2024-05-01",3,12,5,1,0
"2024-06-01",6,9,8,1,0
"2024-07-01",3,6,4,1,0
"2024-08-01",4,7,5,1,0
"2024-09-01",4,8,7,1,1
"2024-10-01",4,7,7,1,1
"2024-11-01",6,8,8,2,1
"2024-12-01",3,5,4,1,0
"2025-01-01",3,5,3,1,0
"2025-02-01",4,5,5,1,0
"2025-03-01",5,7,6,1,0
"2025-04-01",4,8,6,2,0
"2025-05-01",4,7,6,2,0
"2025-06-01",6,6,6,1,0
"2025-07-01",3,5,5,1,0
"2025-08-01",4,6,5,2,0
"2025-09-01",4,6,7,2,0
"2025-10-01",3,6,6,2,1
"2025-11-01",4,5,6,2,0
"2025-12-01",3,3,3,1,0
"2026-01-01",1,3,3,1,0
"2026-02-01",2,4,5,1,0
"2026-03-01",3,6,6,2,0
